School Name,Start Date,End Date,Notes,Degree Name,Activities
UNOPAR - Universidade Norte do Paraná,Jan 2017,Dec 2020,,Bachelor's degree,
Universidade Federal de Goiás (UFG),Aug 2025,Nov 2025,"The course equipped me with the fundamental concepts and techniques of Machine Learning and Neural Networks, providing a solid foundation for understanding, applying, and exploring these technologies in various domains.",Improvement Course," * Detection, recognition, prediction; * Pattern recognition; * Types of machine learning; * Feature space; * Discriminant functions; * Datasets; * Regression; * Classification; * Clustering; * Neural networks. "
